MaStR-Nr. der Einheit;Anzeige-Name der Einheit;Betriebs-Status;Inbetriebnahmedatum der Einheit;Registrierungsdatum der Einheit;Energieträger;Bruttoleistung der Einheit;Nettonennleistung der Einheit;Postleitzahl;Ort;Name des Anlagenbetreibers (nur Org.);"	MaStR-Nr. des Anlagenbetreibers";Letzte Aktualisierung
SEE995497203938;K3 Kwillsberg 3;In Betrieb;14.11.2025;17.11.2025;Wind;6000;6000;23936;Stepenitztal;Windpark Westliches Hügelland GmbH & Co. KG;ABR913678669373;17.11.2025
SEE944728793595;WEA VK 16;In Betrieb;13.11.2025;14.11.2025;Wind;5700;5700;19386;Kreien;UGE Wilsen Eins GmbH & Co. KG Umweltgerechte Energie;ABR997370552171;14.11.2025
SEE966500140458;K1 Kwillsberg 1;In Betrieb;12.11.2025;14.11.2025;Wind;6000;6000;23936;Stepenitztal;Windpark Westliches Hügelland GmbH & Co. KG;ABR913678669373;14.11.2025
SEE987006703763;WEA VK 03;In Betrieb;06.11.2025;07.11.2025;Wind;5700;5700;19386;Gehlsbach;UGE Wilsen Eins GmbH & Co. KG Umweltgerechte Energie;ABR997370552171;07.11.2025
SEE992209556993;WEA VK 01;In Betrieb;28.10.2025;06.11.2025;Wind;5700;5700;19386;Gehlsbach;UGE Wilsen Eins GmbH & Co. KG Umweltgerechte Energie;ABR997370552171;06.11.2025
SEE965065049664;WEA VK 04;In Betrieb;21.10.2025;06.11.2025;Wind;5700;5700;19386;Kreien;UGE Wilsen Eins GmbH & Co. KG Umweltgerechte Energie;ABR997370552171;06.11.2025
SEE991653679128;WEA VK 06;In Betrieb;28.10.2025;06.11.2025;Wind;5700;5700;19386;Kreien;UGE Wilsen Eins GmbH & Co. KG Umweltgerechte Energie;ABR997370552171;06.11.2025
SEE964138137581;WEA VK 07;In Betrieb;08.10.2025;06.11.2025;Wind;5700;5700;19386;Kreien;UGE Wilsen Eins GmbH & Co. KG Umweltgerechte Energie;ABR997370552171;14.11.2025
SEE997885908968;WEA VK 08;In Betrieb;08.10.2025;06.11.2025;Wind;5700;5700;19386;Kreien;UGE Wilsen Eins GmbH & Co. KG Umweltgerechte Energie;ABR997370552171;06.11.2025
SEE982668582091;WEA VK 09;In Betrieb;08.10.2025;06.11.2025;Wind;5700;5700;19386;Kreien;UGE Wilsen Eins GmbH & Co. KG Umweltgerechte Energie;ABR997370552171;06.11.2025
SEE915617016026;WEA VK 10;In Betrieb;15.10.2025;06.11.2025;Wind;5700;5700;19386;Kreien;UGE Wilsen Eins GmbH & Co. KG Umweltgerechte Energie;ABR997370552171;06.11.2025
SEE930997105627;WEA VK 11;In Betrieb;25.09.2025;06.11.2025;Wind;5700;5700;19386;Kreien;UGE Wilsen Eins GmbH & Co. KG Umweltgerechte Energie;ABR997370552171;06.11.2025
SEE958569616890;WEA VK 12;In Betrieb;24.09.2025;06.11.2025;Wind;5700;5700;19386;Kreien;UGE Wilsen Eins GmbH & Co. KG Umweltgerechte Energie;ABR997370552171;14.11.2025
SEE968607790956;WEA VK 13;In Betrieb;24.09.2025;06.11.2025;Wind;5700;5700;19386;Kreien;UGE Wilsen Eins GmbH & Co. KG Umweltgerechte Energie;ABR997370552171;06.11.2025
SEE901952511630;WEA VK 14;In Betrieb;22.09.2025;06.11.2025;Wind;5700;5700;19386;Kreien;UGE Wilsen Eins GmbH & Co. KG Umweltgerechte Energie;ABR997370552171;06.11.2025
SEE952286222044;WEA VK 15;In Betrieb;16.10.2025;06.11.2025;Wind;5700;5700;19386;Kreien;UGE Wilsen Eins GmbH & Co. KG Umweltgerechte Energie;ABR997370552171;14.11.2025
SEE962740991584;WEA-02;In Planung;;03.10.2025;Wind;6000;6000;18196;Dummerstorf;BS Windertrag GmbH;ABR941532341882;05.10.2025
SEE956791859498;Windpark Düvier WEA 01;In Planung;;03.10.2025;Wind;6200;6200;17121;Loitz;EE Projekte Deutschland GmbH;ABR903537868139;08.10.2025
SEE938580594827;Windpark Düvier WEA 02;In Planung;;03.10.2025;Wind;6200;6200;17121;Loitz;EE Projekte Deutschland GmbH;ABR903537868139;08.10.2025
SEE977596336199;Windpark Düvier WEA 03;In Planung;;03.10.2025;Wind;6200;6200;17121;Loitz;EE Projekte Deutschland GmbH;ABR903537868139;08.10.2025
SEE988442479649;Windpark Düvier WEA 04;In Planung;;03.10.2025;Wind;6200;6200;17121;Loitz;EE Projekte Deutschland GmbH;ABR903537868139;08.10.2025
SEE900823691327;WEA 01;In Planung;;03.10.2025;Wind;6000;6000;17121;Loitz;wpd Windpark Düvier GmbH & Co. KG;ABR967398895079;03.10.2025
SEE968744748490;WEA 02;In Planung;;03.10.2025;Wind;6000;6000;17121;Loitz;wpd Windpark Düvier GmbH & Co. KG;ABR967398895079;03.10.2025
SEE975915404659;WEA 03;In Planung;;03.10.2025;Wind;6000;6000;17121;Loitz;wpd Windpark Düvier GmbH & Co. KG;ABR967398895079;03.10.2025
SEE986025865247;WEA 04;In Planung;;03.10.2025;Wind;6000;6000;17121;Loitz;wpd Windpark Düvier GmbH & Co. KG;ABR967398895079;03.10.2025
SEE985566286283;WEA 05;In Planung;;03.10.2025;Wind;6000;6000;17121;Loitz;wpd Windpark Düvier GmbH & Co. KG;ABR967398895079;03.10.2025
SEE963027654109;WEA 2;In Planung;;02.10.2025;Wind;7200;7200;17111;Sarow;Sarowwind GmbH & Co. KG;ABR987996249111;02.10.2025
SEE902112343986;KEK WEA-01;In Planung;;02.10.2025;Wind;6000;6000;17091;Kriesow;Komesker Energie Kriesow 1. Betriebsgesellschaft mbH & Co. KG;ABR929231058980;02.10.2025
SEE978281502721;KEK WEA-02;In Planung;;02.10.2025;Wind;6000;6000;17091;Kriesow;Komesker Energie Kriesow 1. Betriebsgesellschaft mbH & Co. KG;ABR929231058980;02.10.2025
SEE929668679918;KEK WEA-03;In Planung;;02.10.2025;Wind;6000;6000;17091;Kriesow;Komesker Energie Kriesow 1. Betriebsgesellschaft mbH & Co. KG;ABR929231058980;02.10.2025
SEE981694297887;KEK WEA-04;In Planung;;02.10.2025;Wind;6000;6000;17091;Kriesow;Komesker Energie Kriesow 1. Betriebsgesellschaft mbH & Co. KG;ABR929231058980;02.10.2025
SEE971471457313;WEA 02;In Planung;;02.10.2025;Wind;3600;3600;18510;Wittenhagen;NOTUS energy Wind GmbH & Co. KG;ABR933034811987;02.10.2025
SEE956156469607;WEA 14;In Planung;;02.10.2025;Wind;7200;7200;17392;Blesewitz;NOTUS energy Wind GmbH & Co. KG;ABR933034811987;06.10.2025
SEE939292325389;WEA 04;In Planung;;02.10.2025;Wind;3600;3600;18510;Wittenhagen;NOTUS energy Wind GmbH & Co. KG;ABR933034811987;02.10.2025
SEE989772118765;WEA 3;In Planung;;02.10.2025;Wind;7200;7200;17111;Sarow;Sarowwind GmbH & Co. KG;ABR987996249111;02.10.2025
SEE978221618666;WEA 4;In Planung;;02.10.2025;Wind;7200;7200;17111;Sarow;Sarowwind GmbH & Co. KG;ABR987996249111;02.10.2025
SEE971639443929;WEA 5;In Planung;;02.10.2025;Wind;7200;7200;17111;Sarow;Sarowwind GmbH & Co. KG;ABR987996249111;02.10.2025
SEE974946947555;WEA 6;In Planung;;02.10.2025;Wind;7200;7200;17111;Sarow;Sarowwind GmbH & Co. KG;ABR987996249111;02.10.2025
SEE937818250689;WEA Boizenburg 01;In Planung;;01.10.2025;Wind;5600;5600;19258;Boizenburg;UKA Umweltgerechte Kraftanlagen GmbH & Co. KG;ABR999408386086;01.10.2025
SEE966205252197;WKA 19;In Planung;;01.10.2025;Wind;5600;5600;23970;Benz;Windstrom Kalsow II GmbH & Co. KG;ABR940904325864;01.10.2025
SEE963443244410;Lübesse WEA 2;In Planung;;01.10.2025;Wind;5700;5700;19077;Lübesse;Naturwind Schwerin GmbH;ABR920816539849;01.10.2025
SEE914592983477;Börzow-Grieben WEA 1;In Planung;;01.10.2025;Wind;5560;5560;23936;Stepenitztal;Alterric Deutschland GmbH;ABR927397646904;07.10.2025
SEE957510566369;Börzow-Grieben WEA 2;In Planung;;01.10.2025;Wind;5560;5560;23936;Stepenitztal;Alterric Deutschland GmbH;ABR927397646904;07.10.2025
SEE969500507085;Börzow-Grieben WEA 3;In Planung;;01.10.2025;Wind;5560;5560;23936;Stepenitztal;Alterric Deutschland GmbH;ABR927397646904;07.10.2025
SEE962269881199;G4 Grenze Pomellen 4;In Planung;;23.09.2025;Wind;7200;7200;17329;Nadrensee;ENERTRAG SE;ABR912499302384;27.09.2025
SEE967583872656;G5 Grenze Pomellen 5;In Planung;;23.09.2025;Wind;7200;7200;17329;Nadrensee;ENERTRAG SE;ABR912499302384;27.09.2025
SEE955544739650;G6 Grenze Pomellen 6;In Planung;;23.09.2025;Wind;7200;7200;17329;Nadrensee;ENERTRAG SE;ABR912499302384;27.09.2025
SEE915845396419;G7 Grenze Pomellen 7;In Planung;;23.09.2025;Wind;7200;7200;17329;Nadrensee;ENERTRAG SE;ABR912499302384;27.09.2025
SEE980399682837;G8 Grenze Pomellen 8;In Planung;;23.09.2025;Wind;7200;7200;17329;Nadrensee;ENERTRAG SE;ABR912499302384;27.09.2025
SEE924669486718;G9 Grenze Pomellen 9;In Planung;;23.09.2025;Wind;7200;7200;17329;Nadrensee;ENERTRAG SE;ABR912499302384;07.10.2025
SEE925562097841;WEA MühlenEichsen 01;In Betrieb;08.09.2025;18.09.2025;Wind;6800;6800;19205;Mühlen Eichsen;UGE Goddin GmbH & Co. KG Umweltgerechte Energie;ABR909050485372;18.09.2025
SEE982989929681;WEA 1;In Planung;;11.09.2025;Wind;5600;5600;17495;Karlsburg;NOTUS energy Wind GmbH & Co. KG;ABR933034811987;11.09.2025
SEE978154859624;WEA 2;In Planung;;11.09.2025;Wind;5600;5600;17495;Karlsburg;NOTUS energy Wind GmbH & Co. KG;ABR933034811987;11.09.2025
SEE915705661152;WEA 3;In Planung;;11.09.2025;Wind;5600;5600;17495;Karlsburg;NOTUS energy Wind GmbH & Co. KG;ABR933034811987;11.09.2025
SEE945062467012;WEA 4;In Planung;;11.09.2025;Wind;5600;5600;17495;Karlsburg;NOTUS energy Wind GmbH & Co. KG;ABR933034811987;11.09.2025
SEE931847127660;S1 Stepenitztal 1;In Planung;;11.09.2025;Wind;7200;7200;23936;Stepenitztal;ENERTRAG SE;ABR912499302384;02.10.2025
SEE977077939567;S2 Stepenitztal 2;In Planung;;11.09.2025;Wind;7200;7200;23936;Stepenitztal;ENERTRAG SE;ABR912499302384;02.10.2025
SEE975726231048;S3 Stepenitztal 3;In Planung;;11.09.2025;Wind;7200;7200;23936;Stepenitztal;ENERTRAG SE;ABR912499302384;02.10.2025
SEE968270144070;WEA 07;In Planung;;11.08.2025;Wind;6800;6800;23936;Questin;WIND-projekt GmbH & Co. 55. Betriebs-KG;ABR903529007829;11.08.2025
SEE930365512934;WEA 08;In Planung;;11.08.2025;Wind;6800;6800;23936;Questin;WIND-projekt GmbH & Co. 55. Betriebs-KG;ABR903529007829;11.08.2025
SEE934728407066;Windrad;In Planung;;11.07.2025;Wind;4;4;17498;Mesekenhagen;(natürliche Person);ABR971420833304;11.07.2025
SEE910701719470;wka bree1000;In Betrieb;08.07.2025;08.07.2025;Wind;1;1;18556;Breege;(natürliche Person);ABR974898602205;08.07.2025
SEE968749402694;Dach Windanlage;In Betrieb;04.06.2025;08.07.2025;Wind;2,8;2,8;18317;Saal;(natürliche Person);ABR981731314386;08.07.2025
SEE976042587161;WEA Badekow 01;In Planung;;04.07.2025;Wind;5600;5600;19258;Gresse;UKA Umweltgerechte Kraftanlagen GmbH & Co. KG;ABR999408386086;25.09.2025
SEE931783367335;WEA 62;In Planung;;04.07.2025;Wind;5700;5700;17089;Werder;Komesker Energie Werder 2. Betriebsgesellschaft mbH & Co. KG;ABR969005819003;23.07.2025
SEE906259928082;WEA 64;In Planung;;04.07.2025;Wind;5700;5700;17087;Altentreptow;FairWind Deutschland GmbH & Co. KG;ABR953741479263;01.08.2025
SEE974308030024;WEA 66;In Planung;;04.07.2025;Wind;6800;6800;17087;Altentreptow;FairWind Deutschland GmbH & Co. KG;ABR953741479263;01.08.2025
SEE989893392976;WEA 68;In Planung;;04.07.2025;Wind;3600;3600;17087;Altentreptow;FairWind Deutschland GmbH & Co. KG;ABR953741479263;04.07.2025
SEE990218903722;Dambeck-Züssow WEA 01;In Planung;;03.07.2025;Wind;6800;6800;17506;Gribow;Energiequelle GmbH;ABR957301131660;03.07.2025
SEE924373639349;WEA 01;In Planung;;03.07.2025;Wind;7200;7200;19217;Wedendorf;WIND-projekt GmbH & Co. 35. Betriebs-KG;ABR939832876333;03.07.2025
SEE914968791972;WEA 02;In Planung;;03.07.2025;Wind;7200;7200;19217;Wedendorf;WIND-projekt GmbH & Co. 35. Betriebs-KG;ABR939832876333;03.07.2025
SEE936829215496;WEA 03;In Planung;;03.07.2025;Wind;7200;7200;19217;Wedendorf;WIND-projekt GmbH & Co. 35. Betriebs-KG;ABR939832876333;03.07.2025
SEE928175269001;WEA 04;In Planung;;03.07.2025;Wind;7200;7200;19217;Wedendorf;WIND-projekt GmbH & Co. 35. Betriebs-KG;ABR939832876333;03.07.2025
SEE993166157711;WEA 05;In Planung;;03.07.2025;Wind;7200;7200;19217;Wedendorf;WIND-projekt GmbH & Co. 35. Betriebs-KG;ABR939832876333;03.07.2025
SEE981878334889;Behrenhoff WEA 1;In Planung;;01.07.2025;Wind;5300;5300;17498;Behrenhoff;Naturwind Schwerin GmbH;ABR920816539849;01.07.2025
SEE918196261580;Behrenhoff WEA 2;In Planung;;01.07.2025;Wind;5300;5300;17498;Behrenhoff;Naturwind Schwerin GmbH;ABR920816539849;01.07.2025
SEE946176885693;Behrenhoff WEA 3;In Planung;;01.07.2025;Wind;5300;5300;17498;Behrenhoff;Naturwind Schwerin GmbH;ABR920816539849;01.07.2025
SEE941824944326;Behrenhoff WEA 4;In Planung;;01.07.2025;Wind;5300;5300;17498;Behrenhoff;Naturwind Schwerin GmbH;ABR920816539849;01.07.2025
SEE961837541626;Behrenhoff WEA 5;In Planung;;01.07.2025;Wind;5300;5300;17498;Behrenhoff;Naturwind Schwerin GmbH;ABR920816539849;01.07.2025
SEE958587228419;WKA 1 - NX93857;In Betrieb;15.04.2025;30.06.2025;Wind;5700;5700;19386;Werder;Werder Wind & Wärme GmbH;ABR900220062256;30.06.2025
SEE982131790206;WKA 2 - NX96006;In Betrieb;15.04.2025;30.06.2025;Wind;5700;5700;19386;Werder;Werder Wind & Wärme GmbH;ABR900220062256;30.06.2025
SEE995867712176;WKA 3 - NX93858;In Betrieb;24.04.2025;30.06.2025;Wind;5700;5700;19386;Werder;REpulse Werder Lübz WEA 3 GmbH & Co. KG;ABR946415204438;07.11.2025
SEE972535225251;WKA 4 - NX93859;In Betrieb;24.04.2025;30.06.2025;Wind;5700;5700;19386;Werder;Werder Wind & Wärme GmbH;ABR900220062256;07.11.2025
SEE978424595993;WKA 5 - NX93860;In Betrieb;12.05.2025;30.06.2025;Wind;5700;5700;19386;Werder;REpulse Werder Lübz WEA 5 GmbH & Co. KG;ABR933689108821;30.06.2025
SEE908784170592;WKA 6 - NX93861;In Betrieb;12.05.2025;30.06.2025;Wind;5700;5700;19386;Werder;Werder Wind & Wärme GmbH;ABR900220062256;30.06.2025
SEE950106914810;WKA 7 - NX93862;In Betrieb;12.05.2025;30.06.2025;Wind;5700;5700;19386;Werder;Werder Wind & Wärme GmbH;ABR900220062256;30.06.2025
SEE946021030001;ID 1207-01;In Planung;;25.06.2025;Wind;6000;6000;17168;Warnkenhagen;eno energy GmbH;ABR918822616838;25.06.2025
SEE964927178023;ID 1207-02;In Planung;;25.06.2025;Wind;6000;6000;17168;Warnkenhagen;eno energy GmbH;ABR918822616838;25.06.2025
SEE942876955889;ID 1207-03;In Planung;;25.06.2025;Wind;6000;6000;17168;Warnkenhagen;eno energy GmbH;ABR918822616838;25.06.2025
SEE986839404656;ID 1207-04;In Planung;;25.06.2025;Wind;6000;6000;17168;Warnkenhagen;eno energy GmbH;ABR918822616838;25.06.2025
SEE926032065957;WKA 55 RP;In Planung;;25.06.2025;Wind;6000;6000;19374;Zölkow;eno energy GmbH;ABR918822616838;25.06.2025
SEE916978760429;WEA 1;In Planung;;23.05.2025;Wind;5600;5600;17309;Schönwalde;eno energy GmbH;ABR918822616838;23.05.2025
SEE926479567014;WEA 2;In Planung;;23.05.2025;Wind;5600;5600;17309;Schönwalde;eno energy GmbH;ABR918822616838;23.05.2025
SEE953848409224;WP Parchow II WEA 1;In Planung;;20.05.2025;Wind;5560;5560;18233;Carinerland;Windpark Parchow GmbH & Co.KG;ABR973442125542;20.05.2025
SEE943690471517;WP Parchow II WEA 2;In Planung;;20.05.2025;Wind;5560;5560;18233;Carinerland;Windpark Parchow GmbH & Co.KG;ABR973442125542;20.05.2025
SEE927254155310;WP Parchow II WEA 4;In Planung;;20.05.2025;Wind;5560;5560;18233;Carinerland;Windpark Parchow GmbH & Co.KG;ABR973442125542;20.05.2025
SEE911956340549;WP Parchow II WEA 5;In Planung;;20.05.2025;Wind;5560;5560;18233;Carinerland;Windpark Parchow GmbH & Co.KG;ABR973442125542;20.05.2025
SEE944253640791;WP Parchow II WEA 6;In Planung;;20.05.2025;Wind;5560;5560;18233;Carinerland;Windpark Parchow GmbH & Co.KG;ABR973442125542;20.05.2025
SEE948778761856;WP Parchow II WEA 9;In Planung;;20.05.2025;Wind;5560;5560;18233;Carinerland;Windpark Parchow GmbH & Co.KG;ABR973442125542;20.05.2025
SEE968579929453;1390037;In Betrieb;14.05.2025;19.05.2025;Wind;4260;4260;18233;Neubukow;Windpark GmbH & Co. Parchow KG;ABR962670569006;19.05.2025
SEE932600791944;Parchow WEA 1;In Betrieb;28.04.2025;29.04.2025;Wind;5560;5560;18233;Neubukow;Windpark Parchow GmbH & Co.KG;ABR973442125542;29.04.2025
SEE913338052088;Silentwind 500W;In Planung;;17.04.2025;Wind;0,5;0,5;18311;Ribnitz-Damgarten;(natürliche Person);ABR987653183628;18.09.2025
SEE944826974278;RubkowII V150-5,6 WEA3;In Planung;;03.04.2025;Wind;5600;5600;17390;Rubkow;Naturwind Schwerin GmbH;ABR920816539849;03.04.2025
SEE999030423661;RubkowII V136-4,2 WEA4;In Planung;;03.04.2025;Wind;4200;4200;17390;Rubkow;Windpark Rubkow GmbH & Co. KG;ABR919128382342;30.07.2025
SEE986556232211;RubkowII V150-5,6 WEA6;In Planung;;03.04.2025;Wind;5600;5600;17390;Rubkow;EnBW Windkraftprojekte GmbH;ABR986645205263;13.06.2025
SEE915678962577;Groß Voigtshagen WEA 2;In Planung;;03.04.2025;Wind;5000;5000;23942;Dassow;Windpark GmbH & Co. Groß Voigtshagen KG;ABR930536774772;25.04.2025
SEE970601788709;Groß Voigtshagen WEA 3;In Planung;;03.04.2025;Wind;5000;5000;23942;Dassow;Windpark GmbH & Co. Groß Voigtshagen KG;ABR930536774772;03.04.2025
SEE909149903268;Groß Voigtshagen WEA 4;In Planung;;03.04.2025;Wind;5000;5000;23942;Dassow;Windpark GmbH & Co. Groß Voigtshagen KG;ABR930536774772;03.04.2025
SEE970165798350;Groß Voigtshagen WEA 5;In Planung;;03.04.2025;Wind;5000;5000;23942;Dassow;Windpark GmbH & Co. Groß Voigtshagen KG;ABR930536774772;03.04.2025
SEE964647352116;Groß Voigtshagen WEA 6;In Planung;;03.04.2025;Wind;5000;5000;23942;Dassow;Windpark GmbH & Co. Groß Voigtshagen KG;ABR930536774772;03.04.2025
SEE955117127457;Groß Voigtshagen WEA 7;In Planung;;03.04.2025;Wind;5000;5000;23942;Dassow;Windpark GmbH & Co. Groß Voigtshagen KG;ABR930536774772;03.04.2025
SEE935630177702;Groß Voigtshagen WEA 8;In Planung;;03.04.2025;Wind;5000;5000;23942;Dassow;Windpark GmbH & Co. Groß Voigtshagen KG;ABR930536774772;03.04.2025
SEE925976095334;Groß Voigtshagen WEA 9;In Planung;;03.04.2025;Wind;5000;5000;23942;Dassow;Windpark GmbH & Co. Groß Voigtshagen KG;ABR930536774772;03.04.2025
SEE936950784892;Groß Voigtshagen WEA 10;In Planung;;03.04.2025;Wind;5000;5000;23942;Dassow;Windpark GmbH & Co. Groß Voigtshagen KG;ABR930536774772;03.04.2025
SEE907763049348;Groß Voigtshagen WEA 11;In Planung;;03.04.2025;Wind;5000;5000;23942;Dassow;Windpark GmbH & Co. Groß Voigtshagen KG;ABR930536774772;03.04.2025
SEE917554453117;B5 Burgfeld 5;In Planung;;02.04.2025;Wind;7000;7000;17098;Friedland;ENERTRAG SE;ABR912499302384;03.04.2025
SEE911792163982;B6 Burgfeld 6;In Planung;;02.04.2025;Wind;7000;7000;17098;Friedland;ENERTRAG SE;ABR912499302384;03.04.2025
SEE990062226879;B7 Burgfeld 7;In Planung;;02.04.2025;Wind;7000;7000;17098;Friedland;ENERTRAG SE;ABR912499302384;28.04.2025
SEE900101837218;I06 Im Sühring 06;In Planung;;02.04.2025;Wind;7000;7000;17209;Bütow;ENERTRAG SE;ABR912499302384;23.04.2025
SEE909021164152;K07 Krohngraben 07;In Planung;;02.04.2025;Wind;7000;7000;17209;Bütow;ENERTRAG SE;ABR912499302384;24.04.2025
SEE999760665645;K08 Krohngraben 08;In Planung;;02.04.2025;Wind;7000;7000;17209;Bütow;ENERTRAG SE;ABR912499302384;24.04.2025
SEE993028097285;WEA FL2 E160-2;In Planung;;01.04.2025;Wind;5560;5560;17098;Friedland;Friedland Energie Süd GmbH & Co. KG;ABR939919879578;01.04.2025
SEE999290104737;WEA FL2 E160-1;In Planung;;01.04.2025;Wind;5560;5560;17098;Friedland;GEW-Energie GmbH;ABR917503444395;01.04.2025
SEE956536971485;WEA PH1;In Planung;;01.04.2025;Wind;4000;4000;17129;Kruckow;Peene-Wind GmbH;ABR973493145018;01.04.2025
SEE972656262951;WEA 03;In Planung;;31.03.2025;Wind;7000;7000;17129;Kruckow;Windpark Heydenhof - Neu Plötz Betriebs GmbH & Co. KG;ABR998862099334;17.07.2025
SEE900202614886;WEA N04;In Planung;;31.03.2025;Wind;6800;6800;17328;Penkun;Windpark Penkun 5 GmbH & Co. KG;ABR964804583018;08.09.2025
SEE922173099462;WEA 01;In Planung;;31.03.2025;Wind;7000;7000;17129;Alt Tellin;Windpark Heydenhof - Neu Plötz Betriebs GmbH & Co. KG;ABR998862099334;17.07.2025
SEE952641800214;WEA 02;In Planung;;31.03.2025;Wind;7000;7000;17129;Kruckow;Windpark Heydenhof - Neu Plötz Betriebs GmbH & Co. KG;ABR998862099334;17.07.2025
SEE970890358836;WEA 04;In Planung;;31.03.2025;Wind;7000;7000;17129;Kruckow;Windpark Heydenhof - Neu Plötz Betriebs GmbH & Co. KG;ABR998862099334;17.07.2025
SEE992309979579;WEA 05;In Planung;;31.03.2025;Wind;7000;7000;17129;Alt Tellin;Windpark Heydenhof - Neu Plötz Betriebs GmbH & Co. KG;ABR998862099334;17.07.2025
SEE918987714622;WEA 06;In Planung;;31.03.2025;Wind;7000;7000;17129;Kruckow;Windpark Heydenhof - Neu Plötz Betriebs GmbH & Co. KG;ABR998862099334;17.07.2025
SEE948229458878;WEA 07;In Planung;;31.03.2025;Wind;7000;7000;17129;Kruckow;Windpark Heydenhof - Neu Plötz Betriebs GmbH & Co. KG;ABR998862099334;17.07.2025
SEE989213623216;WEA 08;In Planung;;31.03.2025;Wind;7000;7000;17129;Alt Tellin;Windpark Heydenhof - Neu Plötz Betriebs GmbH & Co. KG;ABR998862099334;17.07.2025
SEE950734769837;WEA 09;In Planung;;31.03.2025;Wind;7000;7000;17129;Kruckow;Windpark Heydenhof - Neu Plötz Betriebs GmbH & Co. KG;ABR998862099334;17.07.2025
SEE988448242384;WEA 10;In Planung;;31.03.2025;Wind;7000;7000;17129;Kruckow;Windpark Heydenhof - Neu Plötz Betriebs GmbH & Co. KG;ABR998862099334;17.07.2025
SEE917100672078;WEA 11;In Planung;;31.03.2025;Wind;7000;7000;17129;Alt Tellin;Windpark Heydenhof - Neu Plötz Betriebs GmbH & Co. KG;ABR998862099334;17.07.2025
SEE906905926639;WEA 12;In Planung;;31.03.2025;Wind;7000;7000;17129;Alt Tellin;Windpark Heydenhof - Neu Plötz Betriebs GmbH & Co. KG;ABR998862099334;17.07.2025
SEE978197053737;Kleinwindkraftanlage;In Betrieb;15.10.2023;27.03.2025;Wind;3;3;18574;Garz;(natürliche Person);ABR956906238392;27.03.2025
SEE939960211723;WEA02 - N163/6800;In Planung;;27.03.2025;Wind;6800;6800;17309;Rollwitz;WP Rollwitz GmbH;ABR906494130967;01.04.2025
SEE919878196411;Südwest-18-Wind;In Betrieb;25.03.2025;25.03.2025;Wind;1;1;19372;Spornitz;(natürliche Person);ABR982825467094;25.03.2025
SEE953210621780;WEA 05;In Betrieb;05.03.2025;12.03.2025;Wind;6800;6800;23936;Grevesmühlen;WIND-projekt GmbH & Co. 47. Betriebs-KG;ABR925903527280;28.07.2025
SEE915097881015;Windrad;In Betrieb;09.03.2025;12.03.2025;Wind;0,8;0,8;17309;Viereck;(natürliche Person);ABR999120117913;12.03.2025
SEE999383705704;BlandowBonekamp;In Betrieb;31.12.2022;18.02.2025;Wind;1;1;18551;Lohme;(natürliche Person);ABR914460802282;18.02.2025
SEE922688697764;BlandowBonekamp2;In Betrieb;31.07.1949;18.02.2025;Wind;1;1;18551;Lohme;(natürliche Person);ABR914460802282;18.02.2025
SEE902887536316;WEA 1;In Planung;;07.01.2025;Wind;4800;4800;18236;Kröpelin;eno energy GmbH;ABR918822616838;07.01.2025
SEE918852513244;WEA 2;In Planung;;07.01.2025;Wind;4800;4800;18236;Kröpelin;eno energy GmbH;ABR918822616838;07.01.2025
SEE918250626065;WEA 6;In Planung;;07.01.2025;Wind;4800;4800;18236;Kröpelin;eno energy GmbH;ABR918822616838;08.01.2025
SEE949497380038;WEA 7;In Planung;;07.01.2025;Wind;4800;4800;18236;Kröpelin;eno energy GmbH;ABR918822616838;08.01.2025
SEE922959883216;WEA 8;In Planung;;07.01.2025;Wind;4800;4800;18236;Kröpelin;eno energy GmbH;ABR918822616838;08.01.2025
SEE973740077536;WEA 01;In Planung;;06.01.2025;Wind;7200;7200;17322;Grambow;Windpark Ladenthin GmbH & Co. KG;ABR996090448368;03.07.2025
SEE944992428025;WEA 02;In Planung;;06.01.2025;Wind;7200;7200;17322;Grambow;Windpark Ladenthin GmbH & Co. KG;ABR996090448368;04.07.2025
SEE988275382031;WEA 03;In Planung;;06.01.2025;Wind;7200;7200;17322;Grambow;Windpark Ladenthin GmbH & Co. KG;ABR996090448368;03.07.2025
SEE912907311489;WEA 04;In Planung;;06.01.2025;Wind;7200;7200;17322;Grambow;Windpark Ladenthin GmbH & Co. KG;ABR996090448368;29.07.2025
SEE921047959161;WEA 05;In Planung;;06.01.2025;Wind;7200;7200;17322;Grambow;Windpark Ladenthin GmbH & Co. KG;ABR996090448368;03.07.2025
SEE912989610654;WEA 06;In Planung;;06.01.2025;Wind;7200;7200;17322;Grambow;Windpark Ladenthin GmbH & Co. KG;ABR996090448368;29.07.2025
SEE910070375727;Görmin WEA 6;In Planung;;06.01.2025;Wind;6000;6000;17121;Görmin;Bismarck Wind GmbH & Co.KG;ABR943395077038;28.01.2025
SEE976567002194;WEA 03;In Planung;;03.01.2025;Wind;7200;7200;17379;Altwigshagen;Windpark Rathebur 1 GmbH & Co. KG;ABR926624967713;02.10.2025
SEE913972518865;WEA 04;In Planung;;03.01.2025;Wind;7200;7200;17379;Altwigshagen;Windpark Rathebur 2 GmbH & Co. KG;ABR970454626920;02.10.2025
