MaStR-Nr. der Einheit;Anzeige-Name der Einheit;Betriebs-Status;Inbetriebnahmedatum der Einheit;Registrierungsdatum der Einheit;Energieträger;Bruttoleistung der Einheit;Nettonennleistung der Einheit;Postleitzahl;Ort;Name des Anlagenbetreibers (nur Org.);"	MaStR-Nr. des Anlagenbetreibers";Letzte Aktualisierung
SEE987901750039;P4 Postlow 4;In Betrieb;29.12.1999;04.05.2020;Wind;1500;1500;17391;Postlow;ENERTRAG Windfeld Postlow GmbH & Co. KG;ABR936727479136;23.11.2020
SEE945826929701;V 18826-01;In Betrieb;02.07.2004;04.05.2020;Wind;2000;2000;17087;Altentreptow;Windpark Grapzow GmbH & Co. KG;ABR956360501476;16.08.2024
SEE973472640589;V 18827-02;In Betrieb;02.07.2004;04.05.2020;Wind;2000;2000;17089;Grapzow;Windpark Grapzow GmbH & Co. KG;ABR956360501476;16.08.2024
SEE987587204802;V 18828-03;In Betrieb;08.07.2004;04.05.2020;Wind;2000;2000;17089;Grapzow;Windpark Grapzow GmbH & Co. KG;ABR956360501476;16.08.2024
SEE992771380606;V 18829-04;In Betrieb;08.07.2004;04.05.2020;Wind;2000;2000;17089;Grapzow;Windpark Grapzow GmbH & Co. KG;ABR956360501476;16.08.2024
SEE923138775490;V 18830-05;In Betrieb;06.07.2004;04.05.2020;Wind;2000;2000;17089;Grapzow;Windpark Grapzow GmbH & Co. KG;ABR956360501476;31.07.2025
SEE946816445690;V 18831-06;In Betrieb;14.07.2004;04.05.2020;Wind;2000;2000;17089;Grapzow;Windpark Grapzow GmbH & Co. KG;ABR956360501476;16.09.2024
SEE975897243345;V 18833-08;In Betrieb;07.07.2004;04.05.2020;Wind;2000;2000;17089;Grapzow;Windpark Grapzow GmbH & Co. KG;ABR956360501476;16.08.2024
SEE922533326047;V 18834-09;In Betrieb;14.07.2004;04.05.2020;Wind;2000;2000;17089;Grapzow;Windpark Grapzow GmbH & Co. KG;ABR956360501476;16.08.2024
SEE927324678190;V 18835-10;In Betrieb;14.07.2004;04.05.2020;Wind;2000;2000;17087;Altentreptow;Windpark Grapzow GmbH & Co. KG;ABR956360501476;31.07.2025
SEE980799311115;E 1011292-19;In Betrieb;26.02.2016;29.04.2020;Wind;3050;3050;17349;Kublank;Windpark Kublank III GmbH & Co. KG;ABR900750916333;19.02.2025
SEE959250084851;E 1011293-20;In Betrieb;23.03.2016;29.04.2020;Wind;3050;3050;17349;Kublank;Windpark Kublank III GmbH & Co. KG;ABR900750916333;12.03.2025
SEE958700826478;E 826346-12;In Betrieb;18.12.2015;29.04.2020;Wind;2300;2300;17349;Kublank;Windpark Kublank III GmbH & Co. KG;ABR900750916333;25.10.2024
SEE937165746248;E 826347-13;In Betrieb;04.12.2015;29.04.2020;Wind;2300;2300;17349;Kublank;Windpark Kublank III GmbH & Co. KG;ABR900750916333;22.10.2024
SEE965292104525;WP Buschmühlen 8003 - Neubuckow;In Betrieb;21.12.2001;29.04.2020;Wind;2500;2500;18233;Neubukow;e.disnatur Erneuerbare Energien GmbH;ABR905749214889;06.10.2022
SEE952493851938;E 826348-14;In Betrieb;09.02.2016;29.04.2020;Wind;2300;2300;17349;Kublank;Windpark Kublank III GmbH & Co. KG;ABR900750916333;18.09.2024
SEE944612794325;Windmüllerei TWH;In Betrieb;22.09.2017;28.04.2020;Wind;2400;2400;18320;Trinwillershagen;Windmüllerei Trinwillershagen GmbH & Co. KG;ABR954760287020;04.12.2024
